Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-06-28 14:59:29,false,"Ecatepec de Morelos Running","0.30","17","00:01:10.9","156","172","178","189","3:54","3:41","--","--","1.44","0.0","208","No","00:01:10.9","1","--","--","--","--","--","--","--","--","00:01:10.9","00:01:10.9","2,225","2,235"
Running,2024-06-28 14:52:54,false,"Nezahualcóyotl Running","1.25","80","00:05:07.6","165","177","179","190","4:07","3:47","--","--","1.36","0.0","912","No","00:01:02.9","2","--","--","--","--","--","--","--","--","00:05:05.9","00:05:07.6","2,225","2,234"
Running,2024-06-28 14:28:35,false,"Ecatepec de Morelos Running","3.18","205","00:14:18","167","176","177","186","4:30","4:19","13","16","1.26","0.0","2,528","No","00:00:49.2","4","--","--","--","--","--","--","--","--","00:14:03","00:14:18","2,225","2,235"
Running,2024-06-28 14:19:19,false,"Ecatepec de Morelos - Series de un kilómetro","0.75","49","00:04:45.9","131","143","163","169","6:20","5:35","--","--","0.97","0.0","778","No","00:04:45.9","1","--","--","--","--","--","--","--","--","00:04:45.9","00:04:45.9","2,229","2,233"
Running,2024-06-26 06:29:32,false,"Ecatepec de Morelos Running","26.01","1,748","02:35:43","146","157","171","179","5:59","5:28","73","72","0.98","0.0","26,526","No","00:00:01.6","27","--","--","--","--","--","--","--","--","02:35:30","02:35:43","2,224","2,240"
Running,2024-06-23 07:33:04,false,"Gustavo A Madero Running","5.28","331","00:22:37","178","198","175","196","4:17","3:45","32","32","1.33","0.0","3,986","No","00:01:27.9","6","--","--","--","--","--","--","--","--","00:22:23","00:22:37","2,225","2,245"
Running,2024-06-22 10:00:42,false,"Ecatepec de Morelos Running","2.88","204","00:20:18","136","153","164","171","7:03","6:31","22","22","0.86","0.0","3,334","No","00:06:02.7","3","--","--","--","--","--","--","--","--","00:20:12","00:20:18","2,229","2,239"
Running,2024-06-21 17:56:07,false,"Ecatepec de Morelos Running","4.00","280","00:25:23","136","150","166","173","6:20","5:08","25","24","0.95","0.0","4,214","No","00:00:00.8","5","--","--","--","--","--","--","--","--","00:25:23","00:25:23","2,229","2,242"
Running,2024-06-20 17:42:05,false,"Ecatepec de Morelos Running","4.06","291","00:26:08","138","155","167","173","6:26","5:39","34","32","0.93","0.0","4,338","No","00:00:23.5","5","--","--","--","--","--","--","--","--","00:26:06","00:26:08","2,229","2,241"
Running,2024-06-19 06:16:57,false,"Ecatepec de Morelos Running","25.00","1,776","02:30:04","154","168","169","202","6:00","4:51","83","81","0.98","0.0","25,348","No","00:00:01.2","26","--","--","--","--","--","--","--","--","02:29:53","02:30:04","2,224","2,236"
